code_iata;icao_code;timezone;gmt_offset;raw_offset;dst_offset;name;ordre
BBQ;TAPH;America/Antigua;-4;-4;-4;Barbuda Codrington Airport;4543
BEC;KBEC;America/Chicago;-6;-6;-5;Beech Factory Airport;4544
BEZ;NGBR;Pacific/Tarawa;12;12;12;Beru Airport;4545
BFP;KBVI;America/New_York;-5;-5;-4;Beaver County Airport;4546
BMK;EDWR;Europe/Berlin;1;1;2;Borkum;4547
BNL;KBNL;America/New_York;-5;-5;-4;Barnwell Regional Airport;4548
BOU;LFLD;Europe/Paris;1;1;2;Bourges Airport;4549
BUG;FNBG;Africa/Luanda;1;1;1;Monbaca Benguela;4550
BYG;KBYG;America/Denver;-7;-7;-6;Johnson County Airport;4551
BZD;YBRN;Australia/Sydney;11;10;10;Balranald Airport;4552
CCL;YCCA;Australia/Brisbane;10;10;10;Chinchilla Airport;4553
CEF;KCEF;America/New_York;-5;-5;-4;Westover Air Reserve Base / Metropolitan Airport;4554
CFB;SBCB;America/Sao_Paulo;-3;-3;-3;Cabo Frio Airport;4555
CGS;KCGS;America/New_York;-5;-5;-4;College Park Airport;4556
CIN;KCIN;America/Chicago;-6;-6;-5;Arthur N Neu Airport;4557
CMG;SBCR;America/Campo_Grande;-4;-4;-4;Corumbá International Airport;4558
CRC;SKGO;America/Bogota;-5;-5;-5;Santa Ana Airport;4559
